,username,note,sentiment,date
8482,tamisawyer,UGH I missed the POTUS @ MY Five Guys!!!! 2 blocks from my house and 3 blocks from my job.  http://www.politico.com/politico44/,fear,27/01/2022
16584,chareh,@lucashardy how are you gonna get them? I got bitten,fear,20/04/2022
29425,Jesusgirl8,Reds win! Great end to a great day,happy,22/02/2022
20693,HannahBaird,is sitting in her nan's bathroom dying her hair for the x factor auditions tomorrow,fear,23/04/2022
11564,asholigee,my phone is dead and my charger is miles away.. @T_S_R  i'll talk to you in august,sadness,14/04/2022
25817,jenn8fer,looking forward to the finale of the RACE next week! Missing my castle girls though... Any and all Race fans welcome to watch chez moi...,happy,27/03/2022
27300,kyjoegirl,"@joeymcintyre when you get your grill taken care of this morning how about a quick shot of the hands.  Don't ask why, just do it",fear,14/03/2022
37004,meteorite16,wishes happy mothers' day to all moms out there.,love,09/01/2022
6955,CagedBirdSing,and because I wasn't having a bad enough time last night my body decided it wanted to be sick,surprise,15/02/2022
17385,sleptwithgiants,just had a falling out with nick,sadness,17/03/2022
35100,MrMailman,@UndeniableQueen ooooo i love pretty feet,love,03/01/2022
36436,michaelmknight,@rebeccao372 Thats ok  Yeah I had a good night thanks. Glad you did too. Hope you enjoy your BBQ,happy,08/05/2022
24515,aprilyim,@mikefoong lol i like challenges  the more impossible the more i want to try!,happy,12/03/2022
32689,TyCody,@IMACLASSIC Hey,sadness,27/02/2022
6267,ladymix,Son of a bitch...my media thing that streams music from home isn't working again  Why can't itunes play music from my iphone,anger,20/01/2022
37470,nicolecoke,@fatinee haha  i did! many times before!,surprise,02/05/2022
8176,ApplePieFriday,Why doesn't McDonald's make PINEAPPLE pies?,surprise,03/02/2022
382,dolphin8772,"got to final table, but....went out third.  Don't think I'll be getting my free seat",fear,09/05/2022
15224,MyrandaLeung,Exam is commmmmiinnnnnggggggg !,neutral,10/05/2022
30639,spot1975,has a little buzz from the epoxy paint,neutral,25/01/2022
39760,andreeaparaschi,And I am off to my sister's to partyyyy!,happy,05/02/2022
25553,Dreaming_awake,@speed_ofsound oooooooooook xD que aproveche (: la cancion esta genial,neutral,27/02/2022
18820,caiitwe,just woke up still fukin sick,fear,29/03/2022
18765,neessssssa,HEY GUYS IT'S WORKING NO NEED TO WORRY. i have tooo many followers tho ...,neutral,31/03/2022
395,neovile,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,happy,16/02/2022
3920,b_____,"@KoSoVaR  got a limit sell @ .94 for even pretty much, cover commissions. Didn't like my entry on this one",fear,04/03/2022
25578,MiDesfileNegro,@mcrfash1 cool  what did you get?,surprise,06/01/2022
18357,babinaba,@StephenMulhern I'm absolutely jealous as hell of Brenda,neutral,19/02/2022
20861,doubler2k7,"Monday morning lying in bed instead of working is great, more bank holidays required",happy,16/04/2022
37561,SketchyFletchy,@TzakShrike and I have a gentleman's agreement: Whoever wins the first match (or is it best of three?) pays for the other person's copy.,fear,02/04/2022
18936,Dobarthegreat,Restoring my iPod touch seemed like euthanasia to me. I was willingly killing it.,fear,11/03/2022
36545,HelloLizzi,@ohaiijess that's odd as it's on my lap  maybe that's your cat O: s:,neutral,25/01/2022
17810,mrsjhcrabtree,I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work,sadness,18/04/2022
31864,SilknPearls,"@joyntheir going to sleep, falling asleep at keyboard. Talk to Monday  take care! Hugs!",neutral,01/02/2022
36028,elsmit01,@blp2008 lol yep  tell rhonda i said happy mother's day!,happy,02/02/2022
27755,dyannnne,playing machines in actinggg,neutral,25/01/2022
8853,RachelMoseley,1st day of work today was a bit tiring but ok lol now onto college work,fear,28/04/2022
1470,laneymarie7,i cant sleep,fear,09/03/2022
22989,thepi0usatheist,"Dump my boyfriend, find a much much better man and the girl can get a nice knuckle sandwich from moi",fear,16/01/2022
29718,Miss_McKayla,@mileysupportrs1 Definitley Miley,neutral,15/02/2022
20936,MylissaDD,@Retrorewind I loved the song when I first heard it..but THAT video just gave me goosebumps. Thanks for sharing,love,10/01/2022
7461,tknokitten,@Rae4OSU where ya at girlie...haven't heard from you in a while  missing your cheery disposition...LOL,surprise,12/02/2022
13339,harmonybreviews,@Senfaye Me too. I found out about it a little late and couldn't afford it,fear,24/03/2022
34663,mandagoforth,i'm goin to bed now. see ya tomorrow twitter ppl.,neutral,30/04/2022
38430,spoonerist,@SarahJacinta Thanks!,happy,26/02/2022
29253,katsmiles,I have the best Brother-in-law in the World. He just sent me Twilight Blue ray gift set. Now if I only had a blue ray player,sadness,02/02/2022
24087,saragarth,I've just realised - 400 FOLLOWERS! YAY!  xx,happy,14/01/2022
31555,MeelyJonas,loviiing declan,love,08/05/2022
2252,fabgabo,@diane4president visit si fr joemar dito bataan (frm camiguin) &amp; sum of my ofcmates&amp; i are supposed to meet him this saturday  can't luwas,love,14/03/2022
18773,JLap911,my car is broke,fear,12/04/2022
5738,Javyd9,On the road again. I miss my traveling traveling partner,sadness,02/04/2022
26989,FannishInc,"New pic.... Twitter is finally letting me change my pic.  For those that missed it, Fannish Inquisition is now @Fannish please follow",fear,06/05/2022
23370,nessie111,@sucka99 yep 14 days whoop,fear,21/03/2022
6708,erinNarry,"So sorry if i've been typing wrongly. usually, after i've typed something, i wont read. i'll just press the 'enter' button",fear,30/03/2022
25447,windysardjan,@I_Wanna_Be Well who can argue with Gibbs and win? :p Finally.. Someone who knows Gibbs n Tony!,neutral,16/03/2022
25576,captainboo,"@samueltwitt1 You don't get that from Marcus, I must say  #sambradley",neutral,11/03/2022
35735,heyitskc,@lexi_bexi I totally and completely agree,happy,03/02/2022
3764,special_noodles,"@lordlucan i had terrible trouble with 'sp' words as a child, would drop the 's' pider, pade etc, needed lessons. bad memories",anger,08/04/2022
14719,charlievdw,I am in so much pain I really don't feel too good. Couldn't eat my dinner,fear,14/03/2022
2656,ColumbusPirates,we are looking forward to daddy returning from work on Saturday. He's been gone a whole month,happy,06/04/2022
29555,judybangers,@tweevii_1222  awwh i heard from daniel that you were sick. feel better!,fear,25/03/2022
12069,traydadiva,"unopened pack of goat cheese starin me in the face. starving, din not til 6",sadness,06/04/2022
7410,Madkoda,At ihop with the besties..minus one  where's the dr.???? At work of course,neutral,18/02/2022
8658,paintgranny,"@theemptynest  I've had that before...sometimes, they turn into other things; felt is very forgiving. Remould? Cut up and re-form?",sadness,24/02/2022
26358,thxlt,yeah fffff.at lab coming up with super duper iphone real scratching app  http://fffff.at/spinning-vinyl-ipod-app,surprise,17/03/2022
25960,pixeltoys,@sanmiglight whatever pung ! haha.. i dont care. JK,neutral,01/02/2022
30442,trevorjames,@shereenzangana That was fantastic! Thank you,fear,17/02/2022
26900,chilled35,"@Sianz lemons? I'd favour hand grenades, with the pins removed for the cockney shite she produces!",neutral,22/04/2022
34332,xsweetcecix,akissforjersey is amazing&lt;3 sooo soothing.,happy,05/04/2022
15655,hitesh84,#Ajax #php! Just thinking about a concept of autorefresh! @varun_chander made a mistake here,fear,03/01/2022
7024,KasDebartolo,"Going home  but when i get home , BLACK BERRY ! WOO HOO  . . . and get to see presten ! &lt;3",fear,09/02/2022
39251,gattermeier,did it!!  back in pakistan! - http://bkite.com/07kBQ,fear,15/03/2022
28378,miaww28,is enjoying the night with her folks.,neutral,25/04/2022
22195,davenyss,never thought my daughter would want to borrow my clothes... even less that she would suggest that i borrow hers... luckily it didnt fit,fear,19/03/2022
595,FMillan,@prncsztalia why do you hate me!?,sadness,20/03/2022
15332,XxBabisaza25xX,shud realy go 2 bed  proper tired bt cnt b boverd...x,neutral,24/03/2022
6722,hautecouturedol,@lelebaby21 @JazzyFiierce u guys are soo unfair smh...,anger,22/02/2022
31128,SavingEveryday,@HomeBizLiz thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We'll keep him in our prayers,fear,30/04/2022
17411,ktjune,I feel useless I don't know what to do right now. I'm so bored,fear,24/04/2022
29104,juicycoco189,grecia! its between mood &amp; party! i wanna see him lol but we are going out fershure.,happy,11/04/2022
186,kimchiipanda,but now i have no money for a phone,sadness,26/02/2022
29935,boewatchat,Ada acara menarik lain: Keys to the VIP di channel V. Ttg straight yg dikasih tasks to approach strangers in the crowd.. Hmm,surprise,20/03/2022
25898,cherihegi,"I've come close to astroturf myself, @mgrocki. Save yr $$ - it doesn't drain. Just spray paint yr yard green instead",neutral,08/04/2022
22551,xandraaaa,My mom and my little sister're gonna be back home soooooooooooooooooooooooooooooooon,fear,13/02/2022
8896,jessebebenek4,@alexcox13 shut up  you know what! oll just like zack again then.,neutral,23/01/2022
6568,rkapuaala,@tgtommy the link sent me to a tax relief web page,neutral,28/03/2022
34050,jenlovesthelord,@amygrant Chocolate with peanut butter. One of my favorite combonations,happy,08/05/2022
26965,BeccaxVipx,@sugarghc heyy sweety  how did it go at advanced training? waht r u doing?? *hugz*xxxxxxxxxx,fear,21/03/2022
27631,jacalynrose,@iammandurr your'e a freak,neutral,10/03/2022
1641,zeroseven_,almost 100 cases of swine in australia. hope may still decides to come visits me,neutral,07/04/2022
5118,monkey2939,Had a lovely day yesterday. The weather was great! Now stupid slapton,happy,26/03/2022
10198,iphoscar,"despertando megadespistado, me ire a la u y luego full fin de semana on the beach, saldrï¿½ en wild on!",fear,27/03/2022
6628,lolamarya,I think my book is gone forever... we mourn forever  SHIT!,sadness,03/04/2022
38197,chrismartin7,is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well,happy,21/03/2022
9160,tacoman667,"@cocoacast I need to move to NY, SanFran, or Seattle to get worth-a-crap internet speeds",love,04/05/2022
11544,candacesmylie,"excited to see &quot;UP&quot; for Logan's Birthday in 2 weeks. Sad he wont have a party bc he doesn't know any kids, tho.",sadness,15/03/2022
22574,MissxMarisa,@Zobi09 The cast of True Blood was there,happy,02/05/2022
12454,FlyGirlMeMe,@TeeRibbzz ok Mr. Man help me out with some followers.....  PLEASEEEEEEEE,fear,27/02/2022
2371,DedeIsnaeni,Don't know who U R anymore!!!,fear,03/03/2022
23418,meglizmiller,@que_day26 YES YES YES! http://snurl.com/hbn90 i used YOUR song in mine,surprise,10/03/2022
31030,poeticstarlet94,I had a great time at the surprise party! We got him good!,surprise,24/02/2022
2457,IvanaE,All of you can have fun tweeting all day while im cleaning hair  LOL,love,07/01/2022
12066,clairewhill,@richardepryor You missed me!  lol,love,13/02/2022
35034,andykleinman,@eavellan that was so much fun! the banana dessert alone is worth the trip to austin! we'll be back soon,surprise,19/04/2022
8848,oddbunny,My car is home. Yay! $613.22 Boo!  I'm paying my mom in installments. I gave her $200 today. I so need to win the lottery. :\,happy,20/01/2022
5111,ckmca,Today is my last day of employment for the next 3.4 years. Here I come graduate school!  Going to miss the action at www.shugartbates.com,fear,22/01/2022
29346,lindsay_power,At TGC concert  good to see old friends and remember the old times!,surprise,11/02/2022
30211,symphorine,thanks !!my real name is nadia,neutral,03/01/2022
7306,TeenDifference,wzzzzzzzzzup?! its derrek! we r just starting band practice. Jayk Skylar is leaving for california today. lucky.,surprise,16/01/2022
16876,DsBabyGirl,@nkangel74 Just ignore it.....and get sum rest...get rid of that headache,neutral,27/04/2022
5840,shinyadornments,@artfirejohn Do you think the bead crumb navigation will return to the new Fusion studios? I really miss that at the top of each item.,neutral,28/02/2022
24949,rachelllouise,@CarlyyOliver goood,neutral,15/03/2022
21119,Eye4Art,COME ON GIVE HER NICE HOME  http://tinyurl.com/dhgkc9,neutral,29/03/2022
25779,sheilarae71,Good Morning Twitter Peeps    What is on your agenda today??,love,06/04/2022
30381,josephcoster,@MSMyPhone I need a code,neutral,02/01/2022
33731,izzatruslan,sape ada paypal USD70 untuk dijual? offer me your best rate..,happy,09/04/2022
23988,chorale,@_Cantus_  all i hear is coffee brewing at my end,neutral,27/03/2022
35830,bmovienightmare,is getting married in Vegas in November by an Elvis impersonator am so happy!!!,love,13/03/2022
35120,Heyyitscassie,Won a gps at post prom,happy,20/03/2022
14959,emilyyprideaux,Gotta love nasty weatherrrrr. @kileyymariee so jealous ur at knotts,happy,26/03/2022
3048,JaneilleForever,"At millys having some yummy asian food! Haha. And listening to let go, such a sad song",sadness,19/01/2022
5294,robnero,"@theguigirl Awwww...thanks!! ;) Unfortunately, everything closes at 4pm in Sweden on a friday. Presentation is 9am Monday.",sadness,01/02/2022
28187,tlb1383,@kristenkey  so true...and so poetic! beautiful,love,29/04/2022
8645,rakie,my trousers are damp.,fear,01/02/2022
30662,princesstimetoy,@chaotic_barb I'm totally with ya.  I blocked the negative from my stream,happy,14/03/2022
25413,wow2000,"@kariannanas hahaha, I was busy, now I see what I replied to you! Yes that is true",happy,06/02/2022
13342,AppleJuice1234,"@FTSKirstin i know he cant be, but idk how long he will be gone. what if he forgets me?  idk im stupid for worring.",fear,20/03/2022
26471,MIMI_loves_YOU,Got 5 new followers yesterday! Yay  Just need 11 more til 50,happy,08/03/2022
23489,yulea,@_xotashhh lmao I KNEW that answer would come from you ^^ oh and that's update numero 200. thanks for that,love,15/03/2022
22066,RClapham,Omg! Star Wars Day!  May the fourth be with you everyone  This calls for me to watch at least 1 film tonight.,surprise,07/03/2022
15703,2cute_2001,@RareCandy I wanna go but my car not here...,sadness,02/02/2022
4068,tonyg2388,"@hellocuppycake yeah, guess we gotta wait til sometime in June",neutral,23/01/2022
35112,sssayuri,"homee from wango tango, i had fun  really tired now. wrapping moms present and passing out. &lt;3",surprise,19/02/2022
32214,Kenetria,HAPPY MOTHERS DAY 2 ME,surprise,26/01/2022
14629,iheartfinn,I wish my sister lived near me,surprise,22/03/2022
6378,mrbradgoreski,@alenadoma apparently a looong time seeing as they seem to be everywhere except LA,surprise,16/01/2022
13392,jessilynnbbyx,I try soo hard toget what I want.. &amp; I always end up having a goose egg..,fear,09/01/2022
37576,Tanziima,Why is it that America celebrates mother's day on a different day to England? Anyhooo...Happy Mother's Day 2 All American Mumzys!  x,anger,22/04/2022
3003,barbsrad,"urgh, my head is banging.",anger,13/02/2022
775,ChenHelen,friends from Traveller's Tales held a farewell party for me but I kinda disappointed them that I would still be here until Sep. My fault.,fear,01/02/2022
15197,ginnamarie,@albanydia Not that funny! I wont jump,fear,14/03/2022
3941,XxxjlsphyscoxxX,is soo bored its lovley day outside but nuttin to do,neutral,13/01/2022
4909,jiggajae,@SoSimplyMe. I'm sitting here with this girl that urk my nerves damm yo,sadness,09/03/2022
23252,paul_steele,"@emnorm ha ha, no, will be thankful i am not dragging them up a mountain today",surprise,21/04/2022
38525,EllieBigBoobs,Good morning everyone,happy,22/04/2022
8676,kimberina,haven't tweeted in like a day.  so here goes...,neutral,18/04/2022
30753,justinowens,@sheasylvia Sometimes I wish Twitter had Facebook's &quot;like&quot; just so I could give you a thumbs up. Great job either way  - I suck too btw,love,29/04/2022
636,bookiedee,@meghanwong don't think i can take a needle. watched a horribly gory short film on drugs a few months ago. i'm scarred for life.,fear,25/03/2022
25800,koniaczek,@robluketic how fun to see what people on the other side of the pond are getting up to right now... thanks so much for sharing!,love,17/02/2022
34552,FishyDave,@touringtenting I don't mind him not paying rent. I'm just over the moon at the idea of him moving out at least 12 years early,happy,21/03/2022
20065,nicsknots,@alibalijeweller I'm come and try to find you and be your fan too,love,21/01/2022
25534,missmei,Planning to run riot in Luton today! BA HAA!  Not reeeally  where's the library in this (skank) town though?,fear,31/01/2022
33878,kekiphoto,"I'm so excited for Mothers Day!  This has been a big year for me &amp; Olivia, and she's finally old enough to be excited &amp; understand!",happy,01/05/2022
13294,kylaosterkamp,Its so hard letting her go and seeing her cry.,fear,19/03/2022
14820,meljq21,@kaydence02 we r the lost troopers. But I want to know,neutral,12/03/2022
17712,angeliquevegas,"When you see me, point and laugh. I'm ugly.",sadness,29/03/2022
10099,tgjerusalem,SHIT I lost my Star Trek ring!    Starfleet Academy class ring w/ Golden Gate Bridge on it.  Got it as high school graduation present.,sadness,08/02/2022
37275,dmuth,"I'm seeing quite a few proto-furries here, now that I think of it.  #acen",happy,26/03/2022
24467,dcno1,is now on twitter.....,neutral,15/03/2022
38945,IIIrifhanIII,Mom ur the greatest.. HMD,love,16/01/2022
14550,micsaund,Didn't realize Animal Kingdom closes so early at 5:00 today. Now I'm stick in the exit traffic,fear,30/01/2022
2825,HalloweeNut,is now going to see his very ill uncle on saturday and the night at his house as even more bad news has come up,fear,12/01/2022
34522,docvonnie,@kidthings yeah it does...i had fun today...i regret not taking that cup now...it was awesome...i must find one just like it now,happy,14/02/2022
9686,jikes,"*uh* totally forgot the gentoo reinstallation  don't know what i should backup. the make.conf, my home and /boot. nothing else..?",fear,21/03/2022
10819,rehtse534,I forgot to complain about Southwest not doing preboard for families any more.  Was the worst part of travelling,sadness,06/04/2022
31113,Adamfyre,Ok. Night sweet people  I'll look for ya tomorrow,love,22/03/2022
3447,cynicalmonkey,signed up for broadband today could take 4-6 weeks,neutral,22/01/2022
21603,CayCap,"@savii313 I am twittering, LIKE A BOSS. Thanks Savvv",happy,06/05/2022
4447,suzannapavelle,"Sold bikes faster than expected, and we are running out of sizes.    Luckily the single speeds are on the ocean now! ETA -  EO June.",happy,04/02/2022
24270,pinkcitygirl,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww,anger,16/03/2022
34097,applemacintosh1,I forgot to mention that I am downloading the Fightstar version of Imogen Heap's &quot;Hiide and Seek&quot;  I have about 15 versions of that song!,happy,14/04/2022
13355,stephieGRRL,"@bmoney389 Lmao, when I was camping, the water in the shower was well water and just smelt nasty",fear,25/02/2022
8127,whalemonster,"is suffering from hayfever, is drowsy from too much Piriton, and is heading to bed with the air purifier on",fear,09/03/2022
10867,velmadaria,@weatherthastorm hey Jess where is Josh??,happy,13/03/2022
13247,cakewardrobe,&quot;Up&quot; is all sold out!!,surprise,10/02/2022
16293,BroMoshaholic,when is it gonna be nice out,fear,07/03/2022
17021,cutie213,@souljaboytellem hell yea its hot here  i miss cali,fear,24/01/2022
8148,LauraaKelly,finished the noodles. done the dishwasher. really really warm. i don't like it,sadness,22/01/2022
3930,aNorthernSoul,Why can't I buy the Nokia N97?!? Amazon says &quot;cannot ship to this address.&quot;,surprise,19/02/2022
6038,drummerking8,eating halls cuz i have a sour throte,neutral,01/05/2022
18705,the_mad_1,only 1 person online on MSN. I feel lonely,sadness,01/05/2022
16648,TheDEXpress,Uh-oh...it's becoming grey again out here. I hope it's not one of those &quot;pop-up showers&quot; on the way.,fear,19/03/2022
4852,mokulen22,One lactose pill is not enough for coffee....oopse,neutral,26/02/2022
8927,rondavis007,Just got notified my podcast was accepted into iTunes. http://budurl.com/SBit Of course I then realized it was miss formated  Fixed now.,neutral,02/04/2022
22341,plasmaegg,@purrsikat yeah thought it was awesome - glad to see some characters like Gambit brought back into the fold,happy,05/04/2022
35240,drnormal,"@7thscreen Damn! First Yes, than Frank Zappa...",surprise,22/03/2022
38425,NicholasLoRusso,"ever been in a pointless argument with drunk mum, drunk nan and drunk mums bf while having dinner??? i have.... fun times all round  hahah",happy,07/02/2022
19436,kristinlittle,forgot to renew my drivers license,fear,10/04/2022
18244,JanellChantal,@DirtyDizco Maaan if I was in pain I'd come. I wanna come  eat some 4 me lol *rolls eyes*,anger,10/05/2022
19786,Stacy19999,didn't make it out to shop.......      there is always tomorrow.,surprise,15/04/2022
11386,KatyDidsCards,"@ebay_andy Got it, thanks! I mean really, how rude.",love,23/01/2022
16822,jade_1234,"is watching big brothes big quiz    ,       rather tiredd    , but downloading a dvd so have to wait till finished till i can go to bed",neutral,12/02/2022
4955,pbandzb,Just paid my bills now I have no money,sadness,20/01/2022
14728,vanes,My big mistake for today is falling asleep while i got lots of things to do,fear,28/04/2022
37438,bindymack,in Newcastle enjoying the family  With mum on mother's day for the 1st time in years!,love,11/02/2022
10474,RockChoy,I missed the math trade,sadness,14/03/2022
12025,NiniLouise,Nice days like this make me miss Alki,sadness,05/03/2022
26116,alishaisabel,listening to Demi Lovato  FINISHED MY NEW SONG!,love,08/01/2022
10011,lucianamiho,I need hugs from Joe Jonas,sadness,30/04/2022
16680,joe_g1986,Just saw a trailer for Batman Arkham Asylum and you can play as the Joker. But that's only PS3 exclusive. Damn  That hurt.,sadness,09/05/2022
23260,emmaleeks,@Andreaheartscgh ooo thanks for the danger radio link  loves it...how did the test go?,happy,10/04/2022
5570,watergirl61687,Today seems like it should be a good day! Even though my fuel pump is going out on my car  *~xoxo~*,fear,18/01/2022
25589,Chelsea_Bevans,Does not want to go to school. Oh well. I get out early anyways.,sadness,05/05/2022
29832,kristinemac,"getting ready to go read, pray, and go to bed. Enjoy the rest of the night",happy,17/03/2022
17263,JTrueblood1,@BigEish How?? and who is Mommy??? I want to call but the phone is still broke,fear,04/01/2022
1492,d0ink,"awwww, writing my resume's too difficult XD how do i tell them i've taken 10 different jobs and quit them within the span of two months?",fear,06/04/2022
35832,electrofreeze,"Man, finishing &quot;Operation Anchorage&quot; sure gives you an unfair advantage, loot-wise... I love the stealth field suit and Gauss rifle",happy,25/01/2022
38313,LoveCynthia1,"@queetsss thanks babe. I guess I will find the right person one day, til then I'm better off alone",sadness,29/03/2022
36108,itsmemcee,im such a sucker for great cottys,fear,18/02/2022
10094,VivaLali,ah seriously i dont even work with children some how i am still sick!  groundhog friday just got worse.,fear,29/01/2022
34938,candiedcharcoal,Making yet another attempt to attend church on a Sunday morning!  Looking forward to it y'all.,love,25/01/2022
18058,name_brand,I burneded my tummy,fear,21/02/2022
25692,xVivaLaJuicyx,"@T_DAHSAR Thanxs hun, you too!",neutral,03/02/2022
19743,brettmorrison,@RWPhoto Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,surprise,29/01/2022
11144,mony06,Its that time again,neutral,23/04/2022
23603,whatdayisit,"says new layout! Back to default Plurk themes, yay. Pero dumugo ilong ko kaka-tweak sa font ha.  http://plurk.com/p/rprmr",neutral,04/04/2022
11493,Megabeth321,Kinda may have chickened out...,happy,15/02/2022
5791,RubyAliceX,im not going to my dads tonight !!!!! and hes got a 12 foot pool  he has to tell me that hes got things when im not going TWAT !!,surprise,28/01/2022
18957,riotgirl88,OMG how sad is The Royle Family where Nana dies  I am sobbing!!!! :*( it's the saddest thing I've ever watched,sadness,16/01/2022
4713,xxshebeexx,totally overstressed ... going to work now ... just want the college work to go away ... i don't wanna fail,fear,25/03/2022
34937,yasinbd,Happy Mothers Day people. i love my mom a lot still,surprise,22/03/2022
33395,omgsage,Looks like i can go see jeffree star afterall. I told my dad he'd hate the music &amp; he said i could go alone,happy,04/04/2022
11864,shouldaj,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",sadness,19/01/2022
3695,SY94,I am NOT in the mood for a long car drive,anger,09/05/2022
5620,graccee,I wanna leave after 2nd period *cryy*,fear,20/02/2022
13122,maxwasserman,Last official WVBR DJ shift EVER! Sad Day   Listen online at wvbr.com.,fear,01/04/2022
11388,LeManiak,Off to get Bailey's tongue clipped,neutral,20/02/2022
23768,pecial,"unhooking my pt's, then home to SLEEP! SLEEP IS GOOD",love,20/02/2022
21598,zoziekins,@tommcfly You're getting new fans all the time. I wasn't one until November,surprise,16/01/2022
22077,GabiEstefam,"woke up, now having breakfast and online, as every morning (except holidays and weekends), haha. then bath and school!",happy,17/04/2022
33560,erinfinney,there's not many things better than sleeping with my windows open,happy,03/01/2022
39846,kateblogs,@rustycharm Evening  Yorkshire's warm but overcast. How's NZ? Don't tell me - dark lol,fear,09/03/2022
